MOF,MOFid,CO2_capacity_001,CO2_capacity_005,CO2_capacity_01,CO2_capacity_05,CO2_capacity_25,metal_node,organic_linker
hMOF-6002690,CCC1CC2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2(CC)CC)CC)(CC)CC)CC.[O-]C(=O)C#CC=CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002690,0.0290188,0.133384,0.259981,1.27275,7.75259,[V],"['CCC1CC2(C#CC(=O)[O-])C(C(C1(C#CC(=O)[O-])C(C2(CC)CC)CC)(CC)CC)CC', '[O-]C(=O)C#CC=CC#CC(=O)[O-]', '[O]']"
hMOF-6002183,[O-]C(=O)C12CCC(CC1)(C(C2)C)C(=O)[O-].[O-]C(=O)c1cc2c(C)cc(c(c2cc1C)C)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002183,1.24384,2.50808,2.93137,3.89059,5.14005,[V],"['[O-]C(=O)C12CCC(CC1)(C(C2)C)C(=O)[O-]', '[O-]C(=O)c1cc2c(C)cc(c(c2cc1C)C)C(=O)[O-]', '[O]']"
hMOF-6002328,[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002328,0.0269716,0.122179,0.219692,1.22779,6.10596,[V],"['[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]', '[O]']"
hMOF-1001538,COC(=CC(=C(C(=O)[O-])OC)OC)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0530105,0.29303,0.551351,1.9534,3.88512,[V],"['COC(=CC(=C(C(=O)[O-])OC)OC)C(=O)[O-]', '[O]']"
hMOF-6000291,Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1C)C)C(=O)[O-])C.[O-]C(=O)C#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6000291,0.00550587,0.013447,0.0294352,0.179364,0.907833,[V],"['Cc1cc(C(=O)[O-])c(cc1C#Cc1ccc(c(c1C)C)C(=O)[O-])C', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O]']"
hMOF-6003202,N#CC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])C#N.N#CC12C3C4C2(C2(C1C3(C42C#N)C(=O)[O-])C#N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003202,0.0303115,0.140411,0.311133,1.00243,2.02481,[V],"['N#CC12C3C4C1(C(=O)[O-])C1C2(C3(C41)C(=O)[O-])C#N', 'N#CC12C3C4C2(C2(C1C3(C42C#N)C(=O)[O-])C#N)C(=O)[O-]', '[O]']"
hMOF-6004695,N#Cc1c(ccc(c1C#N)C(=O)[O-])c1nnc(nn1)c1ccc(c(c1)C#N)C(=O)[O-].N#Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C#N.[O].[V] MOFid-v1.rna.cat0;6004695,0.0186244,0.0985426,0.19639,0.950262,4.62566,[V],"['N#Cc1c(ccc(c1C#N)C(=O)[O-])c1nnc(nn1)c1ccc(c(c1)C#N)C(=O)[O-]', 'N#Cc1cc(C(=O)[O-])c(cc1c1nnc(nn1)c1ccc(cc1)C(=O)[O-])C#N', '[O]']"
hMOF-1001579,[O-]C(=O)C(=CC=CC(=O)[O-])c1ccccc1.[O-]C(=O)C=CC=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0198914,0.0976718,0.194834,0.971108,3.17956,[V],"['[O-]C(=O)C(=CC=CC(=O)[O-])c1ccccc1', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O]']"
hMOF-1002917,N#Cc1c(C#N)c(cc2c1c(C#N)c(C#N)c1c2c(C#N)c(c2c1cc(cc2)C(=O)[O-])C#N)C(=O)[O-].N#Cc1c(ccc(c1C#N)C(=O)[O-])c1ccc(c(c1)C#N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.436553,1.46909,2.27487,4.70068,8.33953,[V],"['N#Cc1c(C#N)c(cc2c1c(C#N)c(C#N)c1c2c(C#N)c(c2c1cc(cc2)C(=O)[O-])C#N)C(=O)[O-]', 'N#Cc1c(ccc(c1C#N)C(=O)[O-])c1ccc(c(c1)C#N)C(=O)[O-]', '[O]']"
hMOF-1001079,[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F.[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.068865,0.287714,0.484016,2.93424,6.49586,[V],"['[O-]C(=O)C=C(C(=C(C(=O)[O-])F)F)F', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]', '[O]']"
hMOF-1003078,[O-]C(=O)C1=[C]C2=C3[C]=CC4=C(C3=[C]C=C2C=C1)[C]=C(C(=C4)F)C(=O)[O-].[O-]C(=O)C=CC(=C(C(=O)[O-])F)F.[O].[V] MOFid-v1.rna.cat0,0.768334,2.39689,3.26673,5.48895,8.39304,[V],"['[O-]C(=O)C1=[C]C2=C3[C]=CC4=C(C3=[C]C=C2C=C1)[C]=C(C(=C4)F)C(=O)[O-]', '[O-]C(=O)C=CC(=C(C(=O)[O-])F)F', '[O]']"
hMOF-6003983,CCCc1cc(C=Cc2cc(CCC)c(c(c2CCC)CCC)C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6003983,1.60148,2.76007,3.52324,5.80872,8.63426,[V],"['CCCc1cc(C=Cc2cc(CCC)c(c(c2CCC)CCC)C(=O)[O-])c(c(c1C(=O)[O-])CCC)CCC', '[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-]', '[O]']"
hMOF-1002507,[O-]C(=O)c1cc(O)c(c(c1)O)C(=O)[O-].[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-].[O-]C(=O)c1ccc(c(c1O)O)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0224375,0.129438,0.24645,1.12055,3.31387,[V],"['[O-]C(=O)c1cc(O)c(c(c1)O)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)O)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1O)O)C(=O)[O-]', '[O]']"
hMOF-6000666,[O-]C(=O)C#CC#CC#CC(=O)[O-].[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6000666,0.162811,0.602134,0.931182,1.93571,2.74939,[V],"['[O-]C(=O)C#CC#CC#CC(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)Cl)C(=O)[O-]', '[O]']"
hMOF-6002458,CCCC1CC2(C#CC(=O)[O-])CC(C1(C#CC(=O)[O-])CC2(CCC)CCC)(CCC)CCC.CCCc1c(C#Cc2ccc(cc2)C(=O)[O-])ccc(c1CCC)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002458,0.213467,0.75514,1.30015,3.49926,8.42048,[V],"['CCCC1CC2(C#CC(=O)[O-])CC(C1(C#CC(=O)[O-])CC2(CCC)CCC)(CCC)CCC', 'CCCc1c(C#Cc2ccc(cc2)C(=O)[O-])ccc(c1CCC)C(=O)[O-]', '[O]']"
hMOF-6002847,[O-]C(=O)C#Cc1ccc(c(c1C)C)C#CC(=O)[O-].[O-]C(=O)C12C3(C)C4C2(C2(C1(C3C42C(=O)[O-])C)C)C.[O].[V] MOFid-v1.rna.cat0;6002847,0.018941,0.106996,0.202104,1.17998,6.0194,[V],"['[O-]C(=O)C#Cc1ccc(c(c1C)C)C#CC(=O)[O-]', '[O-]C(=O)C12C3(C)C4C2(C2(C1(C3C42C(=O)[O-])C)C)C', '[O]']"
hMOF-1001003,[O-]C(=O)C(=CC(=O)[O-])OCCC.[O-]C(=O)C=CC(=O)[O-].[O].[V] MOFid-v1.UNKNOWN,0.37583,1.70388,2.40376,3.6848,4.72391,[V],"['[O-]C(=O)C(=CC(=O)[O-])OCCC', '[O-]C(=O)C=CC(=O)[O-]', '[O]']"
hMOF-1002718,CCCc1cc(CCC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1CCC)CCC.[O-]C(=O)C=CC=CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0,1.38619,1.39043,1.4099,1.41538,1.41538,[V],"['CCCc1cc(CCC)c2c(c1)c(C(=O)[O-])c1c(c2C(=O)[O-])ccc(c1CCC)CCC', '[O-]C(=O)C=CC=CC(=O)[O-]', '[O]']"
hMOF-6002225,[O-]C(=O)C12CC(Cl)(Cl)C(C(C1Cl)Cl)(CC2(Cl)Cl)C(=O)[O-].[O-]C(=O)c1cc2c(cc1Cl)ccc1c2cc(Cl)c2c1cc(c(c2Cl)Cl)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6002225,0.39164,1.56846,2.18461,3.51123,3.98429,[V],"['[O-]C(=O)C12CC(Cl)(Cl)C(C(C1Cl)Cl)(CC2(Cl)Cl)C(=O)[O-]', '[O-]C(=O)c1cc2c(cc1Cl)ccc1c2cc(Cl)c2c1cc(c(c2Cl)Cl)C(=O)[O-]', '[O]']"
hMOF-1001269,N#CC(=C(C(=O)[O-])C#N)C=CC(=O)[O-].N#CC(=CC=CC(=O)[O-])C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0299034,0.134949,0.27092,1.68839,5.9766,[V],"['N#CC(=C(C(=O)[O-])C#N)C=CC(=O)[O-]', 'N#CC(=CC=CC(=O)[O-])C(=O)[O-]', '[O]']"
hMOF-1002234,[O-]C(=O)C1=C(F)C2=C([C]=C1F)C(=C(C(=[C]2)F)C(=O)[O-])F.[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0955461,0.40597,0.908695,4.19496,7.89323,[V],"['[O-]C(=O)C1=C(F)C2=C([C]=C1F)C(=C(C(=[C]2)F)C(=O)[O-])F', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]', '[O]']"
hMOF-1001551,CCCC(=CC(=O)[O-])C=CC(=O)[O-].[O-]C(=O)C(=CC(=O)[O-])CCC.[O].[V] MOFid-v1.rna.cat0,0.133951,0.594308,1.10126,2.78147,3.7088,[V],"['CCCC(=CC(=O)[O-])C=CC(=O)[O-]', '[O-]C(=O)C(=CC(=O)[O-])CCC', '[O]']"
hMOF-6004758,BrC1=C(C=CC(=[C]1)C(=O)[O-])c1nnc(nn1)C1=C[C]=C([C]=C1Br)C(=O)[O-].BrBr.[O-]C(=O)C#CC12CCC(C(C1)(Br)Br)(C(C2Br)Br)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6004758,0.0273363,0.132954,0.275493,1.2825,3.99332,[V],"['BrC1=C(C=CC(=[C]1)C(=O)[O-])c1nnc(nn1)C1=C[C]=C([C]=C1Br)C(=O)[O-]', 'BrBr', '[O-]C(=O)C#CC12CCC(C(C1)(Br)Br)(C(C2Br)Br)C#CC(=O)[O-]', '[O]']"
hMOF-6000076,Fc1cc(cc(c1c1ccc(c(c1)F)C(=O)[O-])F)c1ccc(c(c1)F)C(=O)[O-].[O-]C(=O)C#CC#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6000076,0.267864,0.910891,1.58297,2.88697,3.466,[V],"['Fc1cc(cc(c1c1ccc(c(c1)F)C(=O)[O-])F)c1ccc(c(c1)F)C(=O)[O-]', '[O-]C(=O)C#CC#CC(=O)[O-]', '[O]']"
hMOF-6002627,[O-]C(=O)C#CC#CC(=O)[O-].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat1;6002627,0.218064,1.11086,1.70428,3.53899,4.91763,[V],"['[O-]C(=O)C#CC#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]', '[O]']"
hMOF-1000319,N#Cc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])C#N.N#Cc1cc(c(c(c1c1ccc(c(c1)C#N)C(=O)[O-])C#N)C#N)c1ccc(cc1C#N)C(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.019854,0.0785203,0.174357,0.881936,4.06828,[V],"['N#Cc1cc(C#CC(=O)[O-])c(cc1C#CC(=O)[O-])C#N', 'N#Cc1cc(c(c(c1c1ccc(c(c1)C#N)C(=O)[O-])C#N)C#N)c1ccc(cc1C#N)C(=O)[O-]', '[O]']"
hMOF-6003943,N=Nc1cc(ccc1C=Cc1cc(N=N)c(cc1N=N)C(=O)[O-])C(=O)[O-].O=C1ONN=C2[C]1N1N[N]1(C1=C2[N]NOC1=O)[NH].[O].[V] MOFid-v1.rna.cat0;6003943,0.0419372,0.186425,0.422258,2.25001,7.9538,[V],"['N=Nc1cc(ccc1C=Cc1cc(N=N)c(cc1N=N)C(=O)[O-])C(=O)[O-]', 'O=C1ONN=C2[C]1N1N[N]1(C1=C2[N]NOC1=O)[NH]', '[O]']"
hMOF-6001795,BrC(=C(C#CC(=O)[O-])Br)C#CC(=O)[O-].BrC(=CC#CC(=O)[O-])C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0;6001795,0.00755664,0.0358041,0.0705286,0.394924,2.29074,[V],"['BrC(=C(C#CC(=O)[O-])Br)C#CC(=O)[O-]', 'BrC(=CC#CC(=O)[O-])C#CC(=O)[O-]', '[O]']"
hMOF-6003751,N=NC12C3C45C2(C2(C1(C3(C52)C#CC(=O)[O-])[N]NN[N]4)N=N)C#CC(=O)[O-].N=NC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N.[O].[V] MOFid-v1.rna.cat0;6003751,0.0190286,0.096192,0.173056,0.867826,3.37361,[V],"['N=NC12C3C45C2(C2(C1(C3(C52)C#CC(=O)[O-])[N]NN[N]4)N=N)C#CC(=O)[O-]', 'N=NC12C3C4C1(C#CC(=O)[O-])C1(C2(C3(C41N=N)C#CC(=O)[O-])N=N)N=N', '[O]']"
hMOF-1000388,[O-]C(=O)C#Cc1cc(O)c(c(c1)O)C#CC(=O)[O-].[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-].[O].[V] MOFid-v1.rna.cat0,0.0122841,0.0597262,0.112463,0.574812,3.00452,[V],"['[O-]C(=O)C#Cc1cc(O)c(c(c1)O)C#CC(=O)[O-]', '[O-]C(=O)C#Cc1ccc(cc1)C#CC(=O)[O-]', '[O]']"
